destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,car,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ15min,toCoupon_GEQ25min,Y
No Urgent Place,Kid(s),Sunny,55,2,4,1d,Female,0,Unmarried partner,1,5,24,3,Mazda5,never,never,1~3,4~8,1~3,1,0.0,1
No Urgent Place,Kid(s),Sunny,55,3,2,2h,Female,0,Unmarried partner,1,5,24,3,Mazda5,never,never,1~3,4~8,1~3,1,0.0,1
Home,Alone,Sunny,55,3,0,1d,Female,0,Unmarried partner,1,5,24,3,Mazda5,never,never,1~3,4~8,1~3,0,0.0,1
Home,Alone,Sunny,55,3,3,1d,Female,0,Unmarried partner,1,5,24,3,Mazda5,never,never,1~3,4~8,1~3,1,0.0,1
Home,Alone,Sunny,80,3,2,2h,Female,0,Unmarried partner,1,5,24,3,Mazda5,never,never,1~3,4~8,1~3,0,0.0,0
Work,Alone,Sunny,55,4,2,2h,Female,0,Unmarried partner,1,5,24,3,Mazda5,never,never,1~3,4~8,1~3,1,,1
Work,Alone,Sunny,55,4,0,1d,Female,0,Unmarried partner,1,5,24,3,Mazda5,never,never,1~3,4~8,1~3,1,,0
Work,Alone,Sunny,80,4,3,1d,Female,0,Unmarried partner,1,5,24,3,Mazda5,never,never,1~3,4~8,1~3,1,0.0,1
Work,Alone,Sunny,80,4,1,2h,Female,0,Unmarried partner,1,5,24,3,Mazda5,never,never,1~3,4~8,1~3,0,0.0,1
Work,Alone,Sunny,55,4,4,1d,Female,0,Unmarried partner,1,5,24,3,Mazda5,never,never,1~3,4~8,1~3,0,0.0,0
Work,Alone,Sunny,55,4,2,2h,Female,0,Unmarried partner,1,5,24,3,Mazda5,never,never,1~3,4~8,1~3,1,0.0,1
No Urgent Place,Alone,Sunny,55,2,4,1d,Male,0,Single,0,1,0,5,Mazda5,never,less1,4~8,4~8,less1,0,0.0,1
No Urgent Place,Friend(s),Sunny,80,0,2,2h,Male,0,Single,0,1,0,5,Mazda5,never,less1,4~8,4~8,less1,0,0.0,0
No Urgent Place,Friend(s),Sunny,80,0,0,1d,Male,0,Single,0,1,0,5,Mazda5,never,less1,4~8,4~8,less1,0,0.0,1
No Urgent Place,Friend(s),Sunny,80,0,1,2h,Male,0,Single,0,1,0,5,Mazda5,never,less1,4~8,4~8,less1,1,0.0,0
No Urgent Place,Friend(s),Sunny,80,2,2,1d,Male,0,Single,0,1,0,5,Mazda5,never,less1,4~8,4~8,less1,0,0.0,0
No Urgent Place,Friend(s),Sunny,80,2,2,2h,Male,0,Single,0,1,0,5,Mazda5,never,less1,4~8,4~8,less1,1,0.0,0
No Urgent Place,Friend(s),Sunny,80,2,2,1d,Male,0,Single,0,1,0,5,Mazda5,never,less1,4~8,4~8,less1,1,0.0,0
No Urgent Place,Friend(s),Sunny,80,2,4,1d,Male,0,Single,0,1,0,5,Mazda5,never,less1,4~8,4~8,less1,1,0.0,1
No Urgent Place,Friend(s),Sunny,80,3,2,2h,Male,0,Single,0,1,0,5,Mazda5,never,less1,4~8,4~8,less1,0,0.0,0
No Urgent Place,Friend(s),Sunny,80,3,4,2h,Male,0,Single,0,1,0,5,Mazda5,never,less1,4~8,4~8,less1,1,0.0,1
No Urgent Place,Friend(s),Sunny,55,2,2,2h,Male,0,Single,0,1,0,5,Mazda5,never,less1,4~8,4~8,less1,0,0.0,0
No Urgent Place,Friend(s),Sunny,55,2,1,1d,Male,0,Single,0,1,0,5,Mazda5,never,less1,4~8,4~8,less1,1,0.0,1
No Urgent Place,Alone,Sunny,55,0,2,2h,Male,0,Single,0,1,0,5,Mazda5,never,less1,4~8,4~8,less1,0,0.0,0
Home,Alone,Sunny,55,3,0,1d,Male,0,Single,0,1,0,5,Mazda5,never,less1,4~8,4~8,less1,0,0.0,1
Home,Alone,Sunny,55,3,3,1d,Male,0,Single,0,1,0,5,Mazda5,never,less1,4~8,4~8,less1,1,0.0,0
Home,Alone,Sunny,80,3,2,2h,Male,0,Single,0,1,0,5,Mazda5,never,less1,4~8,4~8,less1,0,0.0,0
Work,Alone,Sunny,55,4,2,2h,Male,0,Single,0,1,0,5,Mazda5,never,less1,4~8,4~8,less1,1,,0
Work,Alone,Sunny,55,4,0,1d,Male,0,Single,0,1,0,5,Mazda5,never,less1,4~8,4~8,less1,1,,1
Work,Alone,Sunny,80,4,3,1d,Male,0,Single,0,1,0,5,Mazda5,never,less1,4~8,4~8,less1,1,0.0,0
Work,Alone,Sunny,80,4,1,2h,Male,0,Single,0,1,0,5,Mazda5,never,less1,4~8,4~8,less1,0,0.0,1
Work,Alone,Sunny,55,4,4,1d,Male,0,Single,0,1,0,5,Mazda5,never,less1,4~8,4~8,less1,0,0.0,1
Work,Alone,Sunny,55,4,2,2h,Male,0,Single,0,1,0,5,Mazda5,never,less1,4~8,4~8,less1,1,0.0,0
No Urgent Place,Alone,Sunny,55,2,4,1d,Male,5,Single,0,5,22,1,Mazda5,never,4~8,1~3,1~3,never,0,0.0,1
No Urgent Place,Friend(s),Sunny,80,0,2,2h,Male,5,Single,0,5,22,1,Mazda5,never,4~8,1~3,1~3,never,0,0.0,1
No Urgent Place,Friend(s),Sunny,80,0,0,1d,Male,5,Single,0,5,22,1,Mazda5,never,4~8,1~3,1~3,never,0,0.0,0
No Urgent Place,Friend(s),Sunny,80,0,1,2h,Male,5,Single,0,5,22,1,Mazda5,never,4~8,1~3,1~3,never,1,0.0,1
No Urgent Place,Friend(s),Sunny,80,2,2,1d,Male,5,Single,0,5,22,1,Mazda5,never,4~8,1~3,1~3,never,0,0.0,1
No Urgent Place,Friend(s),Sunny,80,2,2,2h,Male,5,Single,0,5,22,1,Mazda5,never,4~8,1~3,1~3,never,1,0.0,1
No Urgent Place,Friend(s),Sunny,80,2,2,1d,Male,5,Single,0,5,22,1,Mazda5,never,4~8,1~3,1~3,never,1,0.0,0
No Urgent Place,Friend(s),Sunny,80,2,4,1d,Male,5,Single,0,5,22,1,Mazda5,never,4~8,1~3,1~3,never,1,0.0,1
No Urgent Place,Friend(s),Sunny,80,3,2,2h,Male,5,Single,0,5,22,1,Mazda5,never,4~8,1~3,1~3,never,0,0.0,0
No Urgent Place,Friend(s),Sunny,80,3,4,2h,Male,5,Single,0,5,22,1,Mazda5,never,4~8,1~3,1~3,never,1,0.0,1
No Urgent Place,Friend(s),Sunny,55,2,2,2h,Male,5,Single,0,5,22,1,Mazda5,never,4~8,1~3,1~3,never,0,0.0,1
No Urgent Place,Friend(s),Sunny,55,2,1,1d,Male,5,Single,0,5,22,1,Mazda5,never,4~8,1~3,1~3,never,1,0.0,1
No Urgent Place,Alone,Sunny,55,0,2,2h,Male,5,Single,0,5,22,1,Mazda5,never,4~8,1~3,1~3,never,0,0.0,1
Home,Alone,Sunny,55,3,0,1d,Male,5,Single,0,5,22,1,Mazda5,never,4~8,1~3,1~3,never,0,0.0,0
Home,Alone,Sunny,55,3,3,1d,Male,5,Single,0,5,22,1,Mazda5,never,4~8,1~3,1~3,never,1,0.0,0
Home,Alone,Sunny,80,3,2,2h,Male,5,Single,0,5,22,1,Mazda5,never,4~8,1~3,1~3,never,0,0.0,0
Work,Alone,Sunny,55,4,2,2h,Male,5,Single,0,5,22,1,Mazda5,never,4~8,1~3,1~3,never,1,,0
Work,Alone,Sunny,55,4,0,1d,Male,5,Single,0,5,22,1,Mazda5,never,4~8,1~3,1~3,never,1,,0
Work,Alone,Sunny,80,4,3,1d,Male,5,Single,0,5,22,1,Mazda5,never,4~8,1~3,1~3,never,1,0.0,0
Work,Alone,Sunny,80,4,1,2h,Male,5,Single,0,5,22,1,Mazda5,never,4~8,1~3,1~3,never,0,0.0,1
Work,Alone,Sunny,55,4,4,1d,Male,5,Single,0,5,22,1,Mazda5,never,4~8,1~3,1~3,never,0,0.0,0
Work,Alone,Sunny,55,4,2,2h,Male,5,Single,0,5,22,1,Mazda5,never,4~8,1~3,1~3,never,1,0.0,0
No Urgent Place,Alone,Sunny,55,2,4,1d,Male,5,Married partner,1,1,7,6,Mazda5,less1,1~3,1~3,1~3,less1,0,0.0,1
No Urgent Place,Friend(s),Sunny,80,0,2,2h,Male,5,Married partner,1,1,7,6,Mazda5,less1,1~3,1~3,1~3,less1,0,0.0,1
No Urgent Place,Friend(s),Sunny,80,0,1,2h,Male,5,Married partner,1,1,7,6,Mazda5,less1,1~3,1~3,1~3,less1,1,0.0,1
No Urgent Place,Friend(s),Sunny,80,2,2,2h,Male,5,Married partner,1,1,7,6,Mazda5,less1,1~3,1~3,1~3,less1,1,0.0,1
No Urgent Place,Friend(s),Sunny,80,2,2,1d,Male,5,Married partner,1,1,7,6,Mazda5,less1,1~3,1~3,1~3,less1,1,0.0,1
No Urgent Place,Friend(s),Sunny,80,3,4,2h,Male,5,Married partner,1,1,7,6,Mazda5,less1,1~3,1~3,1~3,less1,1,0.0,1
No Urgent Place,Friend(s),Sunny,55,2,1,1d,Male,5,Married partner,1,1,7,6,Mazda5,less1,1~3,1~3,1~3,less1,1,0.0,1
No Urgent Place,Kid(s),Sunny,80,0,4,2h,Male,5,Married partner,1,1,7,6,Mazda5,less1,1~3,1~3,1~3,less1,1,0.0,1
No Urgent Place,Kid(s),Sunny,80,0,1,2h,Male,5,Married partner,1,1,7,6,Mazda5,less1,1~3,1~3,1~3,less1,1,0.0,1
No Urgent Place,Kid(s),Sunny,80,0,0,1d,Male,5,Married partner,1,1,7,6,Mazda5,less1,1~3,1~3,1~3,less1,1,0.0,1
No Urgent Place,Kid(s),Sunny,80,2,4,1d,Male,5,Married partner,1,1,7,6,Mazda5,less1,1~3,1~3,1~3,less1,0,0.0,1
No Urgent Place,Kid(s),Sunny,55,2,4,1d,Male,5,Married partner,1,1,7,6,Mazda5,less1,1~3,1~3,1~3,less1,1,0.0,1
No Urgent Place,Kid(s),Sunny,55,3,2,2h,Male,5,Married partner,1,1,7,6,Mazda5,less1,1~3,1~3,1~3,less1,1,0.0,0
Home,Alone,Sunny,55,3,0,1d,Male,5,Married partner,1,1,7,6,Mazda5,less1,1~3,1~3,1~3,less1,0,0.0,1
Home,Alone,Sunny,55,3,3,1d,Male,5,Married partner,1,1,7,6,Mazda5,less1,1~3,1~3,1~3,less1,1,0.0,0
Home,Alone,Sunny,80,3,2,2h,Male,5,Married partner,1,1,7,6,Mazda5,less1,1~3,1~3,1~3,less1,0,0.0,1
Work,Alone,Sunny,55,4,2,2h,Male,5,Married partner,1,1,7,6,Mazda5,less1,1~3,1~3,1~3,less1,1,,0
Work,Alone,Sunny,55,4,0,1d,Male,5,Married partner,1,1,7,6,Mazda5,less1,1~3,1~3,1~3,less1,1,,1
Work,Alone,Sunny,80,4,3,1d,Male,5,Married partner,1,1,7,6,Mazda5,less1,1~3,1~3,1~3,less1,1,0.0,1
Work,Alone,Sunny,80,4,1,2h,Male,5,Married partner,1,1,7,6,Mazda5,less1,1~3,1~3,1~3,less1,0,0.0,0
Work,Alone,Sunny,55,4,4,1d,Male,5,Married partner,1,1,7,6,Mazda5,less1,1~3,1~3,1~3,less1,0,0.0,1
Work,Alone,Sunny,55,4,2,2h,Male,5,Married partner,1,1,7,6,Mazda5,less1,1~3,1~3,1~3,less1,1,0.0,0
No Urgent Place,Alone,Sunny,55,2,4,1d,Male,0,Single,0,0,22,1,Mazda5,1~3,less1,1~3,less1,1~3,0,0.0,0
No Urgent Place,Friend(s),Sunny,80,0,2,2h,Male,0,Single,0,0,22,1,Mazda5,1~3,less1,1~3,less1,1~3,0,0.0,1
No Urgent Place,Friend(s),Sunny,80,0,0,1d,Male,0,Single,0,0,22,1,Mazda5,1~3,less1,1~3,less1,1~3,0,0.0,1
No Urgent Place,Friend(s),Sunny,80,0,1,2h,Male,0,Single,0,0,22,1,Mazda5,1~3,less1,1~3,less1,1~3,1,0.0,1
No Urgent Place,Friend(s),Sunny,80,2,2,1d,Male,0,Single,0,0,22,1,Mazda5,1~3,less1,1~3,less1,1~3,0,0.0,1
No Urgent Place,Friend(s),Sunny,80,2,2,2h,Male,0,Single,0,0,22,1,Mazda5,1~3,less1,1~3,less1,1~3,1,0.0,1
No Urgent Place,Friend(s),Sunny,80,2,2,1d,Male,0,Single,0,0,22,1,Mazda5,1~3,less1,1~3,less1,1~3,1,0.0,1
No Urgent Place,Friend(s),Sunny,80,2,4,1d,Male,0,Single,0,0,22,1,Mazda5,1~3,less1,1~3,less1,1~3,1,0.0,1
No Urgent Place,Friend(s),Sunny,80,3,2,2h,Male,0,Single,0,0,22,1,Mazda5,1~3,less1,1~3,less1,1~3,0,0.0,1
No Urgent Place,Friend(s),Sunny,80,3,4,2h,Male,0,Single,0,0,22,1,Mazda5,1~3,less1,1~3,less1,1~3,1,0.0,1
No Urgent Place,Friend(s),Sunny,55,2,2,2h,Male,0,Single,0,0,22,1,Mazda5,1~3,less1,1~3,less1,1~3,0,0.0,1
No Urgent Place,Friend(s),Sunny,55,2,1,1d,Male,0,Single,0,0,22,1,Mazda5,1~3,less1,1~3,less1,1~3,1,0.0,1
No Urgent Place,Alone,Sunny,55,0,2,2h,Male,0,Single,0,0,22,1,Mazda5,1~3,less1,1~3,less1,1~3,0,0.0,1
Home,Alone,Sunny,55,3,0,1d,Male,0,Single,0,0,22,1,Mazda5,1~3,less1,1~3,less1,1~3,0,0.0,1
Home,Alone,Sunny,55,3,3,1d,Male,0,Single,0,0,22,1,Mazda5,1~3,less1,1~3,less1,1~3,1,0.0,1
Home,Alone,Sunny,80,3,2,2h,Male,0,Single,0,0,22,1,Mazda5,1~3,less1,1~3,less1,1~3,0,0.0,1
Work,Alone,Sunny,55,4,2,2h,Male,0,Single,0,0,22,1,Mazda5,1~3,less1,1~3,less1,1~3,1,,1
Work,Alone,Sunny,55,4,0,1d,Male,0,Single,0,0,22,1,Mazda5,1~3,less1,1~3,less1,1~3,1,,0
Work,Alone,Sunny,80,4,3,1d,Male,0,Single,0,0,22,1,Mazda5,1~3,less1,1~3,less1,1~3,1,0.0,1
Work,Alone,Sunny,80,4,1,2h,Male,0,Single,0,0,22,1,Mazda5,1~3,less1,1~3,less1,1~3,0,0.0,1
Work,Alone,Sunny,55,4,4,1d,Male,0,Single,0,0,22,1,Mazda5,1~3,less1,1~3,less1,1~3,0,0.0,1
Work,Alone,Sunny,55,4,2,2h,Male,0,Single,0,0,22,1,Mazda5,1~3,less1,1~3,less1,1~3,1,0.0,1
No Urgent Place,Alone,Sunny,55,2,4,1d,Male,1,Unmarried partner,0,1,22,4,Mazda5,1~3,gt8,4~8,1~3,less1,0,0.0,1
No Urgent Place,Friend(s),Sunny,80,0,2,2h,Male,1,Unmarried partner,0,1,22,4,Mazda5,1~3,gt8,4~8,1~3,less1,0,0.0,1
No Urgent Place,Friend(s),Sunny,80,0,0,1d,Male,1,Unmarried partner,0,1,22,4,Mazda5,1~3,gt8,4~8,1~3,less1,0,0.0,1
No Urgent Place,Friend(s),Sunny,80,0,1,2h,Male,1,Unmarried partner,0,1,22,4,Mazda5,1~3,gt8,4~8,1~3,less1,1,0.0,0
No Urgent Place,Friend(s),Sunny,80,2,2,1d,Male,1,Unmarried partner,0,1,22,4,Mazda5,1~3,gt8,4~8,1~3,less1,0,0.0,1
No Urgent Place,Friend(s),Sunny,80,2,2,2h,Male,1,Unmarried partner,0,1,22,4,Mazda5,1~3,gt8,4~8,1~3,less1,1,0.0,0
No Urgent Place,Friend(s),Sunny,80,2,2,1d,Male,1,Unmarried partner,0,1,22,4,Mazda5,1~3,gt8,4~8,1~3,less1,1,0.0,1
No Urgent Place,Friend(s),Sunny,80,2,4,1d,Male,1,Unmarried partner,0,1,22,4,Mazda5,1~3,gt8,4~8,1~3,less1,1,0.0,1
No Urgent Place,Friend(s),Sunny,80,3,2,2h,Male,1,Unmarried partner,0,1,22,4,Mazda5,1~3,gt8,4~8,1~3,less1,0,0.0,0
No Urgent Place,Friend(s),Sunny,80,3,4,2h,Male,1,Unmarried partner,0,1,22,4,Mazda5,1~3,gt8,4~8,1~3,less1,1,0.0,0
No Urgent Place,Friend(s),Sunny,55,2,2,2h,Male,1,Unmarried partner,0,1,22,4,Mazda5,1~3,gt8,4~8,1~3,less1,0,0.0,0
No Urgent Place,Friend(s),Sunny,55,2,1,1d,Male,1,Unmarried partner,0,1,22,4,Mazda5,1~3,gt8,4~8,1~3,less1,1,0.0,1
No Urgent Place,Alone,Sunny,55,0,2,2h,Male,1,Unmarried partner,0,1,22,4,Mazda5,1~3,gt8,4~8,1~3,less1,0,0.0,0
Home,Alone,Sunny,55,3,0,1d,Male,1,Unmarried partner,0,1,22,4,Mazda5,1~3,gt8,4~8,1~3,less1,0,0.0,1
Home,Alone,Sunny,55,3,3,1d,Male,1,Unmarried partner,0,1,22,4,Mazda5,1~3,gt8,4~8,1~3,less1,1,0.0,0
Home,Alone,Sunny,80,3,2,2h,Male,1,Unmarried partner,0,1,22,4,Mazda5,1~3,gt8,4~8,1~3,less1,0,0.0,0
Work,Alone,Sunny,55,4,2,2h,Male,1,Unmarried partner,0,1,22,4,Mazda5,1~3,gt8,4~8,1~3,less1,1,,1
Work,Alone,Sunny,55,4,0,1d,Male,1,Unmarried partner,0,1,22,4,Mazda5,1~3,gt8,4~8,1~3,less1,1,,1
Work,Alone,Sunny,80,4,3,1d,Male,1,Unmarried partner,0,1,22,4,Mazda5,1~3,gt8,4~8,1~3,less1,1,0.0,0
Work,Alone,Sunny,80,4,1,2h,Male,1,Unmarried partner,0,1,22,4,Mazda5,1~3,gt8,4~8,1~3,less1,0,0.0,1
Work,Alone,Sunny,55,4,4,1d,Male,1,Unmarried partner,0,1,22,4,Mazda5,1~3,gt8,4~8,1~3,less1,0,0.0,1
Work,Alone,Sunny,55,4,2,2h,Male,1,Unmarried partner,0,1,22,4,Mazda5,1~3,gt8,4~8,1~3,less1,1,0.0,1
No Urgent Place,Alone,Sunny,55,2,4,1d,Female,1,Married partner,1,5,24,5,Mazda5,never,less1,gt8,4~8,never,0,0.0,1
No Urgent Place,Friend(s),Sunny,80,0,2,2h,Female,1,Married partner,1,5,24,5,Mazda5,never,less1,gt8,4~8,never,0,0.0,1
No Urgent Place,Friend(s),Sunny,80,0,1,2h,Female,1,Married partner,1,5,24,5,Mazda5,never,less1,gt8,4~8,never,1,0.0,1
No Urgent Place,Friend(s),Sunny,80,2,2,2h,Female,1,Married partner,1,5,24,5,Mazda5,never,less1,gt8,4~8,never,1,0.0,1
No Urgent Place,Friend(s),Sunny,80,2,2,1d,Female,1,Married partner,1,5,24,5,Mazda5,never,less1,gt8,4~8,never,1,0.0,1
No Urgent Place,Friend(s),Sunny,80,3,4,2h,Female,1,Married partner,1,5,24,5,Mazda5,never,less1,gt8,4~8,never,1,0.0,1
No Urgent Place,Friend(s),Sunny,55,2,1,1d,Female,1,Married partner,1,5,24,5,Mazda5,never,less1,gt8,4~8,never,1,0.0,1
No Urgent Place,Kid(s),Sunny,80,0,4,2h,Female,1,Married partner,1,5,24,5,Mazda5,never,less1,gt8,4~8,never,1,0.0,1
No Urgent Place,Kid(s),Sunny,80,0,1,2h,Female,1,Married partner,1,5,24,5,Mazda5,never,less1,gt8,4~8,never,1,0.0,1
No Urgent Place,Kid(s),Sunny,80,0,0,1d,Female,1,Married partner,1,5,24,5,Mazda5,never,less1,gt8,4~8,never,1,0.0,0
No Urgent Place,Kid(s),Sunny,80,2,4,1d,Female,1,Married partner,1,5,24,5,Mazda5,never,less1,gt8,4~8,never,0,0.0,1
No Urgent Place,Kid(s),Sunny,55,2,4,1d,Female,1,Married partner,1,5,24,5,Mazda5,never,less1,gt8,4~8,never,1,0.0,1
No Urgent Place,Kid(s),Sunny,55,3,2,2h,Female,1,Married partner,1,5,24,5,Mazda5,never,less1,gt8,4~8,never,1,0.0,0
Home,Alone,Sunny,55,3,0,1d,Female,1,Married partner,1,5,24,5,Mazda5,never,less1,gt8,4~8,never,0,0.0,0
Home,Alone,Sunny,55,3,3,1d,Female,1,Married partner,1,5,24,5,Mazda5,never,less1,gt8,4~8,never,1,0.0,0
Home,Alone,Sunny,80,3,2,2h,Female,1,Married partner,1,5,24,5,Mazda5,never,less1,gt8,4~8,never,0,0.0,0
Work,Alone,Sunny,55,4,2,2h,Female,1,Married partner,1,5,24,5,Mazda5,never,less1,gt8,4~8,never,1,,0
Work,Alone,Sunny,55,4,0,1d,Female,1,Married partner,1,5,24,5,Mazda5,never,less1,gt8,4~8,never,1,,0
Work,Alone,Sunny,80,4,3,1d,Female,1,Married partner,1,5,24,5,Mazda5,never,less1,gt8,4~8,never,1,0.0,0
Work,Alone,Sunny,80,4,1,2h,Female,1,Married partner,1,5,24,5,Mazda5,never,less1,gt8,4~8,never,0,0.0,0
Work,Alone,Sunny,55,4,4,1d,Female,1,Married partner,1,5,24,5,Mazda5,never,less1,gt8,4~8,never,0,0.0,1
Work,Alone,Sunny,55,4,2,2h,Female,1,Married partner,1,5,24,5,Mazda5,never,less1,gt8,4~8,never,1,0.0,0
No Urgent Place,Alone,Sunny,55,2,4,1d,Male,1,Single,0,5,11,3,Mazda5,gt8,gt8,gt8,gt8,gt8,0,0.0,1
No Urgent Place,Friend(s),Sunny,80,0,2,2h,Male,1,Single,0,5,11,3,Mazda5,gt8,gt8,gt8,gt8,gt8,0,0.0,0
No Urgent Place,Friend(s),Sunny,80,0,0,1d,Male,1,Single,0,5,11,3,Mazda5,gt8,gt8,gt8,gt8,gt8,0,0.0,1
No Urgent Place,Friend(s),Sunny,80,0,1,2h,Male,1,Single,0,5,11,3,Mazda5,gt8,gt8,gt8,gt8,gt8,1,0.0,0
No Urgent Place,Friend(s),Sunny,80,2,2,1d,Male,1,Single,0,5,11,3,Mazda5,gt8,gt8,gt8,gt8,gt8,0,0.0,1
No Urgent Place,Friend(s),Sunny,80,2,2,2h,Male,1,Single,0,5,11,3,Mazda5,gt8,gt8,gt8,gt8,gt8,1,0.0,0
No Urgent Place,Friend(s),Sunny,80,2,2,1d,Male,1,Single,0,5,11,3,Mazda5,gt8,gt8,gt8,gt8,gt8,1,0.0,1
No Urgent Place,Friend(s),Sunny,80,2,4,1d,Male,1,Single,0,5,11,3,Mazda5,gt8,gt8,gt8,gt8,gt8,1,0.0,1
No Urgent Place,Friend(s),Sunny,80,3,2,2h,Male,1,Single,0,5,11,3,Mazda5,gt8,gt8,gt8,gt8,gt8,0,0.0,0
No Urgent Place,Friend(s),Sunny,80,3,4,2h,Male,1,Single,0,5,11,3,Mazda5,gt8,gt8,gt8,gt8,gt8,1,0.0,0
No Urgent Place,Friend(s),Sunny,55,2,2,2h,Male,1,Single,0,5,11,3,Mazda5,gt8,gt8,gt8,gt8,gt8,0,0.0,0
No Urgent Place,Friend(s),Sunny,55,2,1,1d,Male,1,Single,0,5,11,3,Mazda5,gt8,gt8,gt8,gt8,gt8,1,0.0,1
No Urgent Place,Alone,Sunny,55,0,2,2h,Male,1,Single,0,5,11,3,Mazda5,gt8,gt8,gt8,gt8,gt8,0,0.0,0
Home,Alone,Sunny,55,3,0,1d,Male,1,Single,0,5,11,3,Mazda5,gt8,gt8,gt8,gt8,gt8,0,0.0,1
Home,Alone,Sunny,55,3,3,1d,Male,1,Single,0,5,11,3,Mazda5,gt8,gt8,gt8,gt8,gt8,1,0.0,1
Home,Alone,Sunny,80,3,2,2h,Male,1,Single,0,5,11,3,Mazda5,gt8,gt8,gt8,gt8,gt8,0,0.0,0
Work,Alone,Sunny,55,4,2,2h,Male,1,Single,0,5,11,3,Mazda5,gt8,gt8,gt8,gt8,gt8,1,,0
Work,Alone,Sunny,55,4,0,1d,Male,1,Single,0,5,11,3,Mazda5,gt8,gt8,gt8,gt8,gt8,1,,1
Work,Alone,Sunny,80,4,3,1d,Male,1,Single,0,5,11,3,Mazda5,gt8,gt8,gt8,gt8,gt8,1,0.0,1
Work,Alone,Sunny,80,4,1,2h,Male,1,Single,0,5,11,3,Mazda5,gt8,gt8,gt8,gt8,gt8,0,0.0,0
Work,Alone,Sunny,55,4,4,1d,Male,1,Single,0,5,11,3,Mazda5,gt8,gt8,gt8,gt8,gt8,0,0.0,1
Work,Alone,Sunny,55,4,2,2h,Male,1,Single,0,5,11,3,Mazda5,gt8,gt8,gt8,gt8,gt8,1,0.0,0
No Urgent Place,Alone,Sunny,55,2,4,1d,Female,1,Single,1,0,10,2,Mazda5,never,1~3,4~8,1~3,less1,0,0.0,1
No Urgent Place,Friend(s),Sunny,80,0,2,2h,Female,1,Single,1,0,10,2,Mazda5,never,1~3,4~8,1~3,less1,0,0.0,1
No Urgent Place,Friend(s),Sunny,80,0,0,1d,Female,1,Single,1,0,10,2,Mazda5,never,1~3,4~8,1~3,less1,0,0.0,0
No Urgent Place,Friend(s),Sunny,80,0,1,2h,Female,1,Single,1,0,10,2,Mazda5,never,1~3,4~8,1~3,less1,1,0.0,1
No Urgent Place,Friend(s),Sunny,80,2,2,1d,Female,1,Single,1,0,10,2,Mazda5,never,1~3,4~8,1~3,less1,0,0.0,1
No Urgent Place,Friend(s),Sunny,80,2,2,2h,Female,1,Single,1,0,10,2,Mazda5,never,1~3,4~8,1~3,less1,1,0.0,1
No Urgent Place,Friend(s),Sunny,80,2,2,1d,Female,1,Single,1,0,10,2,Mazda5,never,1~3,4~8,1~3,less1,1,0.0,1
No Urgent Place,Friend(s),Sunny,80,2,4,1d,Female,1,Single,1,0,10,2,Mazda5,never,1~3,4~8,1~3,less1,1,0.0,1
No Urgent Place,Friend(s),Sunny,80,3,2,2h,Female,1,Single,1,0,10,2,Mazda5,never,1~3,4~8,1~3,less1,0,0.0,1
No Urgent Place,Friend(s),Sunny,80,3,4,2h,Female,1,Single,1,0,10,2,Mazda5,never,1~3,4~8,1~3,less1,1,0.0,1
